fen,result
r1b2rk1/pp1n1ppp/1qn1p3/2bpP3/5P2/2N1BN2/PPPQ2PP/2KR1B1R w - - 2 11,0.5
r1b1k2r/2q2ppp/p1p1pn2/2bp4/4PP2/2N2B2/PPP3PP/R1BQ1RK1 w kq - 2 11,0.5
r2qk2r/2p1bppp/p1n1b3/1pnpP3/8/1B2BN2/PPPN1PPP/R2Q1RK1 w kq - 5 11,0.5
r1bqrbk1/pp1p1pp1/2n2n1p/2p1p3/4P3/2PP1NP1/PPN1QPBP/R1B2RK1 w - - 2 11,0.0
r2qk2r/1pp2pbp/p1n1b1p1/3n4/B2P4/5N2/PP3PPP/RNBQR1K1 w kq - 2 11,1.0
r1bqr1k1/pp1nbpp1/2p2n1p/4p3/P3P3/2N2N2/BPP2PPP/R1BQR1K1 w - - 0 11,0.5
r1b1kb1r/5ppp/p1p1pn2/3p4/4P3/2N3P1/PPP1BPP1/R1B1K2R w KQkq - 1 11,1.0
r3k2r/p1ppqpbp/b1p3p1/3nP3/2P5/1P4P1/P3QP1P/RNB1KB1R w KQkq - 1 11,0.0
r1bq1rk1/4bppp/p2p1n2/npp1p3/B3P3/2PP1N1P/PP3PP1/RNBQR1K1 w - - 0 11,0.5
r1bq1rk1/4bppp/1pp1pn2/p2p4/1n1P1B2/2N1PN1P/PPP1BPP1/R2QK2R w KQ - 0 11,0.0
r2q1rk1/1p2bppp/p1npbn2/4p3/4P3/1NNQB3/PPP1BPPP/R4RK1 w - - 8 11,0.0
r1bq1rk1/pp1nbppp/2p1pn2/3p4/2PP4/5NP1/PPQ1PPBP/RNB2RK1 w - - 6 11,1.0
r1b2rk1/pp1nqpb1/2pp1npp/4p3/2PPP3/2N1BN2/PPQ1BPPP/3R1RK1 w - - 0 11,0.0
r1bq1rk1/ppp2pp1/2nb3p/1B6/3P4/5N1P/P1P2PP1/R1BQ1RK1 w - - 0 11,1.0
r2q1rk1/pp1n1pp1/4bn1p/2Pp4/1b5B/2NBP3/PPQ2PPP/R3K1NR w KQ - 2 11,1.0
