fen,score_cp
"r2q1rk1/pp2ppbp/2np2p1/1B5n/3PP3/2N1BP2/PP3P1P/R2QR1K1 b - - 2 12",95
"r2q1rk1/pp2ppbp/4b1p1/2npP3/8/5N1P/PPP2PP1/R1BQRBK1 w - - 4 13",87
"r2q1rk1/pp3pb1/2npbnpp/2p1p3/2P5/1PNP2P1/PB1NPPBP/R2Q1RK1 w - - 2 11",73
"r2q1rk1/pp3pbp/2np2p1/1B1Pp2n/4P3/2N1BP2/PP3P1P/R2QR1K1 b - - 0 13",161
"r2q1rk1/pp3pbp/2pp2p1/3Nnb2/2P5/4B1P1/PP1QPPBP/2R2RK1 w - - 0 14",59
"r2q1rk1/pp3pbp/3p2p1/3Pp2n/3nP3/2N1BP2/PP3P1P/R2QRBK1 b - - 2 14",176
"r2q1rk1/pp3pp1/2n1b2p/1Bbp1n2/5B2/2P2N2/PP1Q1PPP/R3RNK1 w - - 4 15",54
"r2q1rk1/pp3pp1/2nbb2p/1B1p1n2/8/2P1BN2/PP1Q1PPP/R3RNK1 w - - 2 14",35
"r2q1rk1/pp3pp1/2nnb2p/1Bbp4/5B2/2P1NN2/PP1Q1PPP/R3R1K1 w - - 6 16",5
"r2q1rk1/pp3ppp/2Bb1n2/8/3P1pb1/2N2N2/PPP3PP/R1BQ1RK1 b - - 0 10",94
"r2q1rk1/pp3ppp/2nb1n2/2pp4/3P2b1/1PN1PN2/PB2BPPP/R2QK2R w KQ - 1 10",12
"r2q1rk1/pp3ppp/2nb1n2/2pp4/3P4/1PN1Pb2/PB2BPPP/R2Q1RK1 w - - 0 11",5
"r2q1rk1/pp3ppp/2nb1n2/3p4/3p4/1PN1PB2/PB3PPP/R2Q1RK1 w - - 0 12",10
"r2q1rk1/pp3ppp/2nb4/2p2b2/3p1N2/3P2P1/PPP2PBP/R1BQR1K1 b - - 4 13",51
"r2q1rk1/pp3ppp/2nb4/2p2b2/3p1N2/3P2P1/PPP2PBP/R1BQ1RK1 w - - 3 13",0
"r2q1rk1/pp3ppp/2nbb3/2p5/3p1N2/3P2P1/PPP2PBP/R1BQ1RK1 b - - 2 12",35
"r2q1rk1/pp3ppp/2nbb3/2pN4/3p4/3P2P1/PPP2PBP/R1BQ1RK1 w - - 1 12",14
"r2q1rk1/pp3ppp/3pb3/1B1N2b1/P2pP3/5Q2/1P3PPP/3RR1K1 w - - 2 17",47
"r2q1rk1/pp4bp/2p3p1/3pn3/8/2P3PP/PP2QPB1/R1B2RK1 w - - 0 15",38
"r2q1rk1/pp4bp/3p2p1/1N1P3n/3pR3/5P2/PP3P1P/R2Q1BK1 b - - 0 17",128
"r2q1rk1/pp4bp/3p2p1/1N1Pp2n/3Bp3/5P2/PP3P1P/R2QRBK1 b - - 0 16",67
"r2q1rk1/pp4bp/3p2p1/1N1Ppp1n/3nP3/4BP2/PP3P1P/R2QRBK1 b - - 1 15",205
"r2q1rk1/pp4pp/1np1bb2/4pp2/8/1PNPPQPB/PB3P1P/2RR2K1 b - - 3 15",24
"r2q1rk1/pp4pp/1np1bb2/4pp2/8/1PNPPQP1/PB3PBP/2RR2K1 w - - 2 15",15
"r2q1rk1/ppbn1pp1/2p1pn1p/2Pp4/1P1P2b1/5NP1/PB1NPPBP/R2Q1RK1 b - - 0 11",29
"r2q1rk1/ppn1ppbp/1np3p1/4P3/2pP4/2N2BPP/PP2QP2/R1BR2K1 w - - 5 14",92
"r2q1rk1/ppp1b1pp/1nn1bp2/4p3/1P6/P1N2NP1/3PPPBP/1RBQ1RK1 w - - 0 11",22
"r2q1rk1/ppp1b1pp/1nn1bp2/4p3/1P6/P1NP1NP1/4PPBP/1RBQ1RK1 b - - 0 11",3
"r2q1rk1/ppp1bppp/1nn1b3/4p3/1P6/P1N2NP1/3PPPBP/R1BQ1RK1 w - - 1 10",47
"r2q1rk1/ppp1npbp/2npb1p1/8/2PN4/2N1B1P1/PP2PPBP/R2Q1RK1 w - - 3 10",148
"r2q1rk1/ppp1nppp/2n1p3/3p4/1bPP4/1QN1PP2/PP1B1P1P/R3KB1R w KQ - 5 9",38
"r2q1rk1/ppp1p1bp/2n3p1/3p4/3P2b1/2P3PP/PP2NPB1/R1BQK2R b KQ - 0 11",1
"r2q1rk1/ppp1p1bp/2n3p1/3p4/3P2b1/2P3P1/PP2NPBP/R1BQK2R w KQ - 1 11",67
"r2q1rk1/ppp1p1bp/2n3p1/3p4/3P4/2P3PP/PP2bPB1/R1BQK2R w KQ - 0 12",81
"r2q1rk1/ppp2pb1/6p1/4Pb2/6n1/1P2P1P1/PB1NQ1B1/R4RK1 w - - 1 17",2
"r2q1rk1/ppp2pbp/2np2p1/3N1b2/2P5/4B1P1/PP2PPBP/R2Q1RK1 w - - 0 12",85
"r2q1rk1/ppp2pbp/2npb1p1/3N1n2/2PN4/4B1P1/PP2PPBP/R2Q1RK1 w - - 5 11",62
"r2q1rk1/ppp2pbp/3p2p1/3Nnb2/2P5/4B1P1/PP1QPPBP/R4RK1 w - - 2 13",196
"r2q1rk1/ppp2ppp/2n1p3/3n4/1b1P4/1QN1PP2/PP1B1P1P/R3KB1R w KQ - 0 10",24
"r2q1rk1/ppp2ppp/2n1p3/3n4/1b1P4/PQN1PP2/1P1B1P1P/R3KB1R b KQ - 0 10",1
"r2q1rk1/ppp2ppp/2n1p3/3n4/3P4/PQb1PP2/1P1B1P1P/R3KB1R w KQ - 0 11",20
"r2q1rk1/ppp2ppp/2nb4/3npb2/8/3P1NP1/PPPN1PBP/R1BQ1RK1 w - - 6 9",7
"r2q1rk1/ppp2ppp/5n2/3Pp3/1b6/2N2QPP/PPPP1P2/R1B2RK1 w - - 3 11",49
"r2q1rk1/ppp2ppp/5n2/3Pp3/8/2bP1QPP/PPP2P2/R1B2RK1 w - - 0 12",0
"r2q1rk1/ppp3bp/2n3p1/3pp3/3P4/2P3PP/PP2QPB1/R1B1K2R w KQ - 0 13",74
"r2q1rk1/ppp3bp/3p2p1/P2Ppb2/1PPnN3/8/5PPP/R1BQRBK1 w - - 1 17",106
"r2q1rk1/ppp3bp/6p1/3pn3/8/2P3PP/PP2QPB1/R1B1K2R w KQ - 0 14",37
"r2q1rk1/ppp3pp/2np4/2n2b2/2P1P3/2N2P2/PP1Q2PP/2KR1B1R w - - 0 15",36
"r2q1rk1/ppp3pp/4p3/nP2P3/6Q1/4R3/P4PPP/RN4K1 b - - 0 16",90
"r2q1rk1/ppp3pp/4p3/nP2P3/6Q1/4b3/P4PPP/RN2R1K1 w - - 0 16",58
"r2q1rk1/ppp3pp/4p3/nPb1P3/6Q1/4B3/P4PPP/RN2R1K1 b - - 3 15",17
"r2q1rk1/ppp3pp/4p3/nPb1P3/6Q1/8/P4PPP/RNB1R1K1 w - - 2 15",18
"r2q1rk1/pppb1pp1/2np1n1p/1B2p3/3PP3/2P2N2/P1P2PPP/R1BQR1K1 w - - 1 10",42
"r2q2k1/1pp1npp1/p2prn1p/4p3/PP2P3/2PPNN1P/5PP1/R2QR1K1 w - - 1 16",64
"r2q2k1/1pp2pp1/p1nprn1p/4p3/PPN1P3/2PPbN1P/5PP1/R2QR1K1 w - - 0 15",15
"r2q2k1/1pp2pp1/p2prnnp/4p3/PP2P3/2PPNN1P/2Q2PP1/R3R1K1 w - - 3 17",41
"r2q2k1/1pp2pp1/pbnprn1p/4p3/PP2P3/2PP1N1P/3N1PP1/R1BQR1K1 w - - 0 13",41
"r2q2k1/1r1nbppp/8/p1pPp3/1p2P3/1P1BBPQ1/R5PP/2R3K1 w - - 7 30",15
"r2q2k1/1r1nbppp/8/p1pPp3/1p2P1Q1/1P1BBP2/R5PP/2R3K1 b - - 8 30",75
"r2q2k1/3b1pp1/2p2n1p/2bp1PP1/p7/2PBR3/PP4QP/R4NK1 b - - 2 22",253
"r2q2k1/3b1pp1/2p2n2/2bp1PQ1/p7/2PBR3/PP5P/R4NK1 b - - 0 23",166
"r2q2k1/3b1pp1/2pb1n1p/3p1PP1/p7/2PBR3/PP1N2QP/R5K1 b - - 0 21",280
"r2q2k1/5pbp/2p1rpp1/3b4/p2P4/2QB3P/PP3PPB/R3R1K1 b - - 3 25",39
"r2q2k1/5pbp/2p2pp1/3b4/p2Pr3/2QB3P/PP3PPB/R1R3K1 b - - 1 24",46
"r2q2k1/bpp2p2/2npr2p/p3p1pn/P3P3/N1PP1NBP/1P3PP1/R2QR1K1 w - - 2 15",63
"r2q2k1/bpp2p2/2nprn1p/p3p1p1/P3P2B/N1PP1N1P/1P3PP1/R2QR1K1 w - - 0 14",43
"r2q2k1/bpp2pp1/p1n1rn1p/3pp3/PP2P3/2PP1N1P/2Q2PP1/R1B1RNK1 b - - 1 14",6
"r2q2k1/bpp2pp1/p1n1rn1p/3pp3/PP2P3/2PP1N1P/5PP1/R1BQRNK1 w - - 0 14",24
"r2q2k1/bpp2pp1/p1nprn1p/4p3/PP2P3/2PP1N1P/5PP1/R1BQRNK1 b - - 0 13",18
"r2q2k1/bpp2pp1/p1nprn1p/4p3/P3P3/2PP1N1P/1P3PP1/R1BQRNK1 w - - 0 13",26
"r2q2k1/bpp2pp1/p1nprn1p/4p3/PPN1P3/2PP1N1P/5PP1/R1BQR1K1 w - - 2 14",30
"r2q2k1/pp1n1ppp/5n2/1N1pB3/1b1Pr3/1N1Q4/PP3PPP/R4RK1 w - - 4 18",101
"r2q2k1/pp3pp1/1bp2P1p/4r1N1/2P3Q1/1N6/PP4PP/R4R1K b - - 0 24",8
"r2q2k1/pp3pp1/1bp2P1p/4r1n1/2P1N1Q1/1N6/PP4PP/R4R1K w - - 1 24",78
"r2q2k1/pp3pp1/1bp2P1p/6r1/2P3Q1/1N6/PP4PP/R4R1K w - - 0 25",32
"r2q2k1/pp3pp1/1bp2P1p/6r1/2P5/1N5Q/PP4PP/R4R1K b - - 1 25",25
"r2q2k1/pp3pp1/1bpr2np/5P1Q/8/1NN5/PPP3PP/R4R1K b - - 1 19",38
"r2q2k1/pp3pp1/1bpPr1np/8/5P2/1NN5/PPP3PP/R2Q1R1K w - - 0 18",63
"r2q2k1/pp3ppn/1bp2P1p/4r3/2P1N1Q1/1N6/PP4PP/R4R1K b - - 0 23",60
"r2q2k1/pp3pp1/1bpr2np/5P2/8/1NN5/PPP3PP/R2Q1R1K w - - 0 19",16
"r2q2k1/pp3ppn/1bp4p/3r1P2/2P1N1Q1/1N6/PP4PP/R4R1K b - - 0 22",72
"r2q2k1/pp3ppn/1bp4p/3r1P2/4N1Q1/1N6/PPP3PP/R4R1K w - - 6 22",78
"r2q2k1/pp3ppn/1bp4p/4rP2/2P1N1Q1/1N6/PP4PP/R4R1K w - - 1 23",15
"r2q2k1/pp3ppp/1n3n2/1N1p1Q2/1b1P1B2/1N6/PP2rPPP/R4RK1 w - - 0 16",37
"r2q2k1/pp3ppp/1n3n2/1N1p4/1b1PrB2/1N1Q4/PP3PPP/R4RK1 w - - 2 17",17
"r2q2k1/pp3ppp/1n3n2/1N1pB3/1b1Pr3/1N1Q4/PP3PPP/R4RK1 b - - 3 17",11
"r2q2k1/pp4bp/2p3p1/3pr3/8/2P3PP/PP2QPB1/R4RK1 w - - 0 17",12
"r2q2k1/pp4bp/3p2p1/3P3n/3NRr2/5P2/PP3P1P/R2Q1BK1 b - - 0 18",137
"r2q2k1/ppp3pp/2np4/2n2r2/2P5/2N2P2/PP1Q2PP/2KR1B1R w - - 0 16",135
"r2q2n1/1p2kp2/p1np2pr/1N2p2p/2P1P3/5B2/PP1Q1PPP/R4RK1 w - - 0 14",75
"r2q2n1/1p2kp2/p2p2pr/4p2p/2PnP3/2N2B2/PP1Q1PPP/R4RK1 w - - 2 15",140
"r2q2n1/1p3pk1/p2p2pr/4p2p/2PnPP2/2N5/PP1Q2PP/R2B1RK1 w - - 1 17",113
"r2q2n1/pp2kp2/2np2pr/1N2p2p/2P1P3/5B2/PP3PPP/R2Q1RK1 w - - 2 13",98
"r2q2r1/4nk2/pp1bn2p/3p1pp1/3PpP2/1N2B3/PP2BQNP/2R2RK1 w - - 2 25",92
"r2q3k/1r1nbppp/8/p1pPp3/1p2P3/1P1BBPQ1/R5PP/2R3K1 b - - 6 29",44
"r2q3k/r2nbppp/8/p1pPp3/Rp2P3/1P1BBPQ1/6PP/2R3K1 b - - 4 28",109
"r2q3r/4nk2/pp1bn2p/3p1pp1/3PpP1Q/1N2B3/PP2B1NP/2R2RK1 w - - 0 24",156
"r2q3r/4nkp1/pp1bn2p/3p1p2/3PpP1Q/1N2B3/PP2B1NP/R4RK1 w - - 2 23",139
"r2q3r/pp3kp1/1b2bp2/3p3p/1P6/P7/1BPQ1PPP/R3KB1R w KQ - 2 18",12
"r2q3r/pp3kp1/1b2bp2/3p3p/1P6/P7/1BPQBPPP/R3K2R b KQ - 3 18",7
"r2q3r/pp3kp1/1b3p2/3p1b1p/1P6/P7/1BPQBPPP/R3K2R w KQ - 4 19",24
"r2q3r/pp3kp1/1b3p2/3p1b1p/1P6/P7/1BPQBPPP/R4RK1 b - - 5 19",21
"r2q3r/pp3kpp/3bn1n1/3p1p2/Q2PpP2/8/PP1NB1NP/R1B2RK1 w - - 2 17",119
"r2q3r/ppNk2pp/1Bn1Qpn1/8/8/2PP4/P1P2PPP/R1B1K2R b KQ - 0 1",-100000
"r2q4/5bk1/p4pp1/1p5p/4N2P/P1Q5/1P3PP1/4R1K1 b - - 0 28",14
"r2q4/5bk1/p4pp1/1p5p/4N3/P1Q5/1P3PPP/4R1K1 w - - 2 28",34
"r2q4/5pk1/p5p1/1p2r2p/4NQ2/Pb6/1P3PPP/4R1K1 w - - 0 26",124
"r2q4/6k1/p4pp1/1p2Q2p/4N3/Pb6/1P3PPP/4R1K1 w - - 0 27",76
"r2qbr2/6k1/1p2p3/pP1pb3/P2P3p/3BP3/2Q3P1/2R2RK1 w - - 0 29",143
"r2qbr2/6k1/1p2pb2/pP1p4/P2P3p/3BPN2/2Q3P1/2R2RK1 w - - 0 28",200
"r2qbr2/6kB/1p2pb2/pP1p3p/P2P4/4PN2/2Q3P1/2R2RK1 w - - 1 27",173
"r2qbrk1/1p5p/4pbp1/pP1p4/P2P3P/3BPN2/2Q3P1/R4RK1 w - - 2 24",41
"r2qbrk1/7p/1p2pb2/pP1p3p/P2P4/3BPN2/2Q3P1/2R2RK1 w - - 0 26",158
"r2qbrk1/7p/1p2pbp1/pP1p4/P2P3P/3BPN2/2Q3P1/2R2RK1 w - - 0 25",134
"r2qk1n1/pp3p2/2np2pr/4p2p/2P1P3/2N2B2/PP3PPP/R2Q1RK1 w q - 0 12",157
"r2qk1nr/1bpnppbp/p2p2p1/1p6/3PPP2/2NBBN2/PPP3PP/R2QK2R w KQkq - 4 8",76
"r2qk1nr/1p2ppbp/2np2p1/p1p2b2/2P5/P1N1P1P1/1P1P1PBP/1RBQK1NR w Kkq - 1 8",31
"r2qk1nr/p2b1ppp/2pbp3/3p4/4P3/3B4/PPPN1PPP/R1BQK2R w KQkq - 2 9",6
"r2qk1nr/pp1n1ppp/2p1p3/2bp4/4P3/2N2Q1P/PPPPBPP1/R1B2RK1 w kq - 4 8",26
"r2qk1nr/pp1n1ppp/2p1p3/3p4/N2bP3/5Q1P/PPPPBPP1/R1B2RK1 w kq - 6 9",34
"r2qk1nr/pp1n1ppp/2p1pb2/3p4/N3P3/2P2Q1P/PP1PBPP1/R1B2RK1 w kq - 1 10",29
"r2qk1nr/pp1n1ppp/2pb4/3p3b/3P4/2N2NPP/PP2PPB1/R1BQK2R w KQkq - 2 9",58
"r2qk1nr/pp1n1ppp/2pb4/7b/3PN3/5NPP/PP3PB1/R1BQK2R b KQkq - 0 10",50
"r2qk1nr/pp1n1ppp/2pb4/7b/3Pp3/2N2NPP/PP3PB1/R1BQK2R w KQkq - 0 10",23
"r2qk1nr/pp1nbppp/2p5/7b/3PN3/5NPP/PP2QPB1/R1B1K2R b KQkq - 2 11",0
"r2qk1nr/pp1nbppp/2p5/7b/3PN3/5NPP/PP3PB1/R1BQK2R w KQkq - 1 11",103
"r2qk1nr/pp1nppbp/2pp2p1/8/3PP1b1/2N1BN2/PPP1BPPP/R2QK2R w KQkq - 6 7",77
"r2qk1nr/pp1nppbp/2pp2p1/8/3PP3/2N1Bb2/PPP1BPPP/R2Q1RK1 w kq - 0 8",72
"r2qk1nr/pp3p2/2np2pb/4p2p/2P1P3/2N2B2/PP3PPP/R1BQ1RK1 w kq - 0 11",135
"r2qk1nr/pp3ppp/2n1p3/2bp1b2/3N1B2/4P3/PPP2PPP/RN1QKB1R w KQkq - 0 7",27
"r2qk1nr/pp3ppp/2n5/2bp1p2/5B2/2P1P3/PP3PPP/RN1QKB1R b KQkq - 0 8",90
"r2qk1nr/pp3ppp/2n5/2bp1p2/5B2/4P3/PPP2PPP/RN1QKB1R w KQkq - 0 8",40
"r2qk1nr/ppp2ppp/2n1p3/3p4/1bPP4/1Q2PP2/PP3P1P/RNB1KB1R w KQkq - 1 7",54
"r2qk2r/1b1nbpp1/p2ppn2/1p5p/3NP3/P1N1BP2/1PPQ2PP/1K1R1B1R w kq - 3 14",66
"r2qk2r/1b1nppbp/p2p2pn/1pp1P3/3P1P2/2NBBN2/PPP1Q1PP/R3K2R w KQkq - 0 10",105
"r2qk2r/1b1nppbp/p5pn/1pP1P3/8/2NBBN2/PPP1Q1PP/R3K2R b KQkq - 0 11",33
"r2qk2r/1b1nppbp/p5pn/1pP1p3/5P2/2NBBN2/PPP1Q1PP/R3K2R w KQkq - 0 11",123
"r2qk2r/1b1p1ppp/p2bp3/1pnnP3/3N4/1P1B4/P1P2PPP/R1BQR1K1 w kq - 0 13",18
"r2qk2r/1b1p1ppp/p2Pp3/1pnn4/3N4/1P1B4/P1P2PPP/R1BQR1K1 b kq - 0 13",0
"r2qk2r/1b1pbppp/p1n1p3/8/R2NP3/1P6/1BP2PPP/1N1Q1RK1 w kq - 1 12",27
"r2qk2r/1b1pnpbp/4p1p1/p7/Pp1pPP2/1B1P4/1PP1NQPP/R1B2RK1 b kq - 1 14",33
"r2qk2r/1b1pnpbp/4p1p1/p7/Pp1pPP2/1B1P4/1PP1N1PP/R1B1QRK1 w kq - 0 14",44
"r2qk2r/1b1pnpbp/4p1p1/pp6/3pPP2/1B1P4/PPP1N1PP/R1B1QRK1 w kq - 0 13",17
"r2qk2r/1b1pnpbp/4p1p1/pp6/P2pPP2/1B1P4/1PP1N1PP/R1B1QRK1 b kq - 0 13",23
"r2qk2r/1b1pnpbp/p3p1p1/1p6/3pPP2/1B1P4/PPP1N1PP/R1B1QRK1 b kq - 3 12",37
"r2qk2r/1b2bppp/p1p1pn2/1p2N3/P7/3B4/1PPPQPPP/R1B2RK1 w kq - 2 13",72
"r2qk2r/1b2bppp/p2ppn2/1p4B1/3QP2P/2N2P2/PPP3P1/1K1R1B1R b kq - 2 12",12
"r2qk2r/1b2bppp/p2ppn2/1p4B1/3QP2P/2N2P2/PPP3P1/2KR1B1R w kq - 1 12",2
"r2qk2r/1bp2p2/pp1pnn1p/4p1p1/4P3/P1PBBPP1/1PPNQ2P/2KR3R w kq - 0 14",132
"r2qk2r/1bp2pp1/pp1pnn1p/4p3/4P3/P1PBBP2/1PPNQ1PP/2KR3R w kq - 4 13",70
"r2qk2r/1bpn1pp1/pp1p1n1p/4p3/4P3/P1PBBP2/1PPN2PP/R2QK2R w KQkq - 0 11",63
"r2qk2r/1bpnppbp/p2p2pn/1p2P3/3P1P2/2NBBN2/PPP3PP/R2QK2R w KQkq - 1 9",61
"r2qk2r/1bppbppp/p1n2n2/1p2p3/4P3/1B1P1N2/PPP2PPP/RNBQ1RK1 w kq - 1 8",36
"r2qk2r/1p1Bpp1p/p5p1/2p5/Q2P4/2P1P3/P4PPP/R3K2R b KQkq - 0 15",0
"r2qk2r/1p1bbppp/p1nppn2/6B1/3NP3/2N5/PPPQ1PPP/1K1R1B1R w kq - 4 10",43
"r2qk2r/1p1bpp1p/p5p1/1Bp5/Q2P4/2P1P3/P4PPP/R3K2R w KQkq - 0 15",0
"r2qk2r/1p1bbppp/p2ppn2/6B1/3QP3/2N2P2/PPP3PP/2KR1B1R w kq - 1 11",57
"r2qk2r/1p1n1ppp/p2pbb2/3Np3/4P3/5N2/PPP1BPPP/R2Q1RK1 b kq - 3 11",6
"r2qk2r/1p1n1ppp/p2pbb2/3Np3/4P3/5N2/PPP1BPPP/R2QK2R w KQkq - 2 11",8
"r2qk2r/1p2bppp/2n1bn2/p5B1/3pN3/P4NP1/1P2PPBP/R2Q1RK1 w kq - 2 13",82
"r2qk2r/1p2bppp/p1bppn2/6B1/4P3/2N5/PPPQ1PPP/1K1R1B1R w kq - 0 11",23
"r2qk2r/1p2ppbp/2np1np1/p1p2b2/2P5/P1NPP1P1/1P3PBP/1RBQK1NR w Kkq - 1 9",42
"r2qk2r/1p3pp1/p1nbpn1p/3p1b2/3P1B2/P1N1PN1P/1P3PP1/2RQKB1R w Kkq - 1 15",15
"r2qk2r/1p3pp1/p1nBpn1p/3p1b2/3P4/P1N1PN1P/1P3PP1/2RQKB1R b Kkq - 0 15",0
"r2qk2r/1p3ppp/2n1bb2/p7/3pN3/P4NP1/1P2PPBP/R2Q1RK1 w kq - 0 14",105
"r2qk2r/1p3ppp/2n1bn2/p1b3B1/3p4/P1N2NP1/1P2PPBP/R2Q1RK1 w kq - 0 12",110
"r2qk2r/1p3ppp/2n1bn2/p1bp2B1/8/P4NP1/1P2PPBP/RN1Q1RK1 w kq - 2 11",102
"r2qk2r/1p3ppp/2n2b2/p2b4/Q2pN3/P4NP1/1P2PPBP/R4RK1 w kq - 2 15",124
"r2qk2r/1p3ppp/p1n1pn2/3p1b2/1b1P1B2/1QN1PN2/PP2BPPP/R3K2R w KQkq - 2 10",57
"r2qk2r/1p3ppp/p1nbpn2/3p4/3P1B2/2NQPN2/PP3PPP/R4RK1 w kq - 2 11",21
"r2qk2r/1pp1bppp/p1p2n2/4p3/4P1b1/3P1N2/PPP2PPP/RNBQ1RK1 w kq - 1 8",33
"r2qk2r/1pp1bppp/p1p2n2/4p3/4P3/3P1b1P/PPP2PP1/RNBQ1RK1 w kq - 0 9",68
"r2qk2r/1pp1n1pp/p1pbbp2/8/3QP3/4BN2/PPPN1PPP/R4RK1 w kq - 4 10",50
"r2qk2r/1pp1nppp/2n5/p3bb2/2P5/P1N2N2/1P2BPPP/R1BQ1RK1 w kq - 0 11",125
"r2qk2r/1pp1nppp/2n5/p3Pb2/2Pb4/P4N2/1P2BPPP/RNBQ1RK1 w kq - 4 10",114
"r2qk2r/1pp1nppp/8/p3nb2/2P5/P1N5/1P2BPPP/R1BQ1RK1 w kq - 0 12",176
"r2qk2r/1pp2pbp/p1n1b1p1/3n4/B2P4/5N2/PP3PPP/RNBQR1K1 w kq - 2 11",69
"r2qk2r/1pp2pbp/p1n1b1p1/3n2B1/B2P4/5N2/PP3PPP/RN1QR1K1 b kq - 3 11",6
"r2qk2r/1pp2pp1/2npbn1p/p1b1p3/4P3/1BPP1N1P/PP1N1PP1/R1BQK2R w KQkq - 1 9",36
"r2qk2r/1pp2ppp/p1p2bn1/4p3/2N1P3/3P2QP/PPP2PP1/R1B2RK1 w kq - 7 13",99
"r2qk2r/1pp2ppp/p1p2bn1/4p3/4P3/3PN1QP/PPP2PP1/R1B2RK1 b kq - 8 13",37
"r2qk2r/1pp2ppp/p1p3n1/4p3/4P2b/3PN1QP/PPP2PP1/R1B2RK1 w kq - 9 14",83
"r2qk2r/1pp2ppp/p1pb1n2/4p3/4P3/1b1P1N2/PPP2PPP/R1BQ1RK1 w kq - 0 10",48
"r2qk2r/1pp2ppp/p1pbbn2/4p3/4P3/1N1P1N2/PPP2PPP/R1BQ1RK1 b kq - 4 9",5
"r2qk2r/1pp2ppp/p1pbbn2/4p3/4P3/3P1N2/PPPN1PPP/R1BQ1RK1 w kq - 3 9",42
"r2qk2r/1pp3b1/2npbpp1/p1nNp2p/2P1P2P/3PB1P1/PP1QNPB1/R3K2R w KQkq - 0 13",97
"r2qk2r/1pp3bp/2npbpp1/p1nNp3/2P1P2P/3PB1P1/PP2NPB1/R2QK2R w KQkq - 0 12",127
"r2qk2r/1ppn1ppp/p1p2b2/4p3/4P3/3P2QP/PPP2PP1/RNB2RK1 w kq - 3 11",63
"r2qk2r/1ppnbppp/p1p5/4p3/4P3/3P1Q1P/PPP2PP1/RNB2RK1 w kq - 1 10",74
"r2qk2r/2p1bppp/p1n1b3/1p1pP3/4n3/1B2BN2/PPP2PPP/RN1Q1RK1 w kq - 3 10",59
"r2qk2r/2p1bppp/p1n1b3/1p1pP3/4n3/1BP1BN2/PP3PPP/RN1Q1RK1 b kq - 2 10",3
"r2qk2r/2p1bppp/p1n1b3/1p1pP3/4n3/1BP2N2/PP3PPP/RNBQ1RK1 w kq - 1 10",46
"r2qk2r/2p1bppp/p1n1b3/1pBpP3/8/1B3N2/PPPN1PPP/R2Q1RK1 b kq - 0 11",15
"r2qk2r/2p1bppp/p1n1b3/1pnpP3/8/1B2BN2/PPPN1PPP/R2Q1RK1 w kq - 5 11",13
"r2qk2r/2p2p1p/1p4p1/3pP3/2pNbP2/2P3R1/PP1Q2PP/R5K1 w kq - 0 21",78
"r2qk2r/2p2ppp/1p6/3pP3/2pN1P2/2Pb4/PP1Q2PP/R4RK1 w kq - 2 19",37
"r2qk2r/2p2ppp/1p6/3pP3/2pN1P2/2Pb1R2/PP1Q2PP/R5K1 b kq - 3 19",25
"r2qk2r/2p2ppp/1p6/3pP3/2pNbP2/2P2R2/PP1Q2PP/R5K1 w kq - 4 20",53
"r2qk2r/2p2ppp/1p6/3pPb2/2p2P2/2P2N2/PP1Q2PP/R4RK1 w kq - 0 18",34
"r2qk2r/2p2ppp/p1n1b3/1pbpP3/8/1B3N2/PPPN1PPP/R2Q1RK1 w kq - 0 12",7
"r2qk2r/2p2ppp/p1n1b3/1pbpP3/8/1BP2N2/PP1N1PPP/R2Q1RK1 b kq - 0 12",10
"r2qk2r/2p2ppp/pbnp1n2/1p2p3/3PP1b1/1BP1BN2/PP3PPP/RN1Q1RK1 w kq - 3 10",38
"r2qk2r/2p2ppp/pbnp1n2/1p6/3pP1b1/1BP1BN2/PP1N1PPP/R2Q1RK1 w kq - 0 11",34
"r2qk2r/3bbppp/p2ppn2/8/Np1NPP2/1P2B3/1PP1Q1PP/1K1R3R b kq - 0 14",53
"r2qk2r/3bbppp/p2ppn2/n7/Np1NPP2/1B2B3/PPP1Q1PP/1K1R3R b kq - 3 13",116
"r2qk2r/3bbppp/p2ppn2/n7/Np1NPP2/1B2B3/PPP1Q1PP/2KR3R w kq - 2 13",16
"r2qk2r/3nbpp1/b2p4/p2Pp2p/P7/2N3PP/1P3PB1/R1BQ1RK1 w kq - 1 16",23
"r2qk2r/3nbpp1/b2p4/p2Pp2p/P7/2N3PP/1P3PB1/R1BQR1K1 b kq - 2 16",39
"r2qk2r/3nbpp1/b2p4/p2Pp3/P5Pp/2N4P/1P3PB1/R1BQR1K1 b kq - 0 17",1
"r2qk2r/3nbpp1/b2p4/p2Pp3/P6p/2N3PP/1P3PB1/R1BQR1K1 w kq - 0 17",30
"r2qk2r/3nbpp1/p2pbn2/1p2p2p/4P3/1NN1BP2/PPPQ2PP/1K1R1B1R w kq - 2 12",48
"r2qk2r/3nbpp1/p2pbn2/1p2p2p/4P3/1NNBBP2/PPPQ2PP/1K1R3R b kq - 3 12",13
"r2qk2r/4Bppp/1np1p1bn/3pP3/p2P4/2P2N2/Q2NBPPP/R4RK1 b kq - 0 15",76
"r2qk2r/4bpp1/b2p4/p1nPp3/P5Pp/2N4P/1P3PB1/R1BQR1K1 w kq - 1 18",15
"r2qk2r/4bpp1/p2pbn2/1p2p2p/2B1P3/1NN1BP2/PPP2QPP/1K1R3R b kq - 0 14",83
